CLIENTEID,CODMARCA,DESCDISTRI,DESCDIMES
03123,100,14.0,12.0
03123,109,12.0,15.0
01686,098,12.0,15.0
01686,099,14.0,12.0
01686,100,14.0,12.0
01686,109,12.0,15.0
01687,098,12.0,15.0
01687,099,14.0,12.0
01687,100,14.0,12.0
01687,109,12.0,15.0
01688,098,12.0,15.0
01688,099,14.0,12.0
01688,100,14.0,12.0
01688,109,12.0,15.0
01689,098,12.0,15.0
01689,099,14.0,12.0
01689,100,14.0,12.0
01689,109,12.0,15.0
01690,098,12.0,15.0
01690,099,14.0,12.0
01690,100,14.0,12.0
01690,109,12.0,15.0
01692,098,12.0,15.0
01692,099,14.0,12.0
01692,100,14.0,12.0
01692,109,12.0,15.0
01693,098,12.0,15.0
01693,099,14.0,12.0
01693,100,14.0,12.0
01693,109,12.0,15.0
03127,098,12.0,15.0
03127,099,14.0,12.0
03127,100,14.0,12.0
03127,109,12.0,15.0
01694,098,12.0,15.0
01694,099,14.0,12.0
01694,100,14.0,12.0
01694,109,12.0,15.0
01695,098,12.0,15.0
01695,099,14.0,12.0
01695,100,14.0,12.0
07289,029,19.17,16.55
01695,109,12.0,15.0
07338,053,12.0,10.0
00593,002,12.0,14.0
00594,002,12.0,14.0
00595,002,12.0,14.0
00596,002,12.0,14.0
01696,098,12.0,15.0
01696,099,14.0,12.0
01696,100,14.0,12.0
01696,109,12.0,15.0
03128,098,12.0,15.0
03128,099,14.0,12.0
03128,100,14.0,12.0
03128,109,12.0,15.0
01697,098,12.0,15.0
01697,099,14.0,12.0
01697,100,14.0,12.0
01697,109,12.0,15.0
05822,098,12.0,15.0
03130,098,12.0,15.0
03130,099,14.0,12.0
03130,100,14.0,12.0
03130,109,12.0,15.0
03131,098,12.0,15.0
03131,099,14.0,12.0
03131,100,14.0,12.0
03131,109,12.0,15.0
01700,098,12.0,15.0
01700,099,14.0,12.0
01700,100,14.0,12.0
00598,002,12.0,14.0
00599,002,12.0,14.0
00600,002,12.0,14.0
01700,109,12.0,15.0
01701,098,12.0,15.0
01701,099,14.0,12.0
01701,100,14.0,12.0
01701,109,12.0,15.0
01702,098,12.0,15.0
01702,099,14.0,12.0
01702,100,14.0,12.0
01702,109,12.0,15.0
01703,098,12.0,15.0
01703,099,14.0,12.0
01703,100,14.0,12.0
01703,109,12.0,15.0
07003,053,12.0,10.0
00601,002,12.0,14.0
00602,002,12.0,14.0
00603,002,12.0,14.0
